,ENGoogleTranslate,finalLabel3Classes,target
6613,flames now,NEG,2
6614,golder unded ro served good foody foody food now harare full chicken and chips,NEG,2
6615,fees yepa uz iri bhooo yakadaro kana musina mari garai kumba musatibhowe takuda vari serious nechikoro panga pazonyanya kuita kunge pa huyai mose,POS,1
6616,eshiish at least you have to have resting but about bad,POS,1
6617,mental health requires protection but they dont feel it,POS,1
6619,revhats anger again people do not want to see what is needed die am single,NEG,2
6620,do you go through everything that is uzer shaa and eat,NEG,2
6621,shop people of the ticks,NEG,2
6622,corruption baba listen to what your leader is saying zanu pf spokes not zvako,NEG,2
6623,has even failed to eat what he cooks,NEG,2
6624,hose susan if you are woman who never gets thirst for zanu pf way,NEG,2
6625,person is hint at their home simple no fighting no sucide,POS,1
6626,tis is chld nubuse this people just moving,NEG,2
6627,is like mate white children of satan,POS,1
6630,or of closing chicken too,NEU,0
6631,was not to give the parents of people of the childs virginity we also have the first,NEG,2
6632,not that mothers shouldnt route houses not to drink them as its everyones dake take care of herhister check it out for yourself through your grandmother some kids that are there and your grandmothers grandmother daughter with you to influence,POS,1
6633,to consider our point for an institution was requesting sanctions is its most relevant point,POS,1
6634,githing is shallow to be honest uninhakewilla wha in ware exply of genuine commires mudaray you are shallow in this viagard suggest mans person to act as if there is something wrong with units,NEG,2
6637,is is not satisfied once,NEG,2
6638,you just like the people who are integrity suggest on all things you can end on black person,NEU,0
6639,your statement was true shadaya and the topic woupnt be making making right right infact the tl coulda been fake skas sineakers and this sellers shit,NEG,2
6640,ice im in harare salaries for bitcoin community,NEG,2
6641,go cough of while finding it,POS,1
6642,come here and see,NEU,0
6643,is this person who claims to eat,NEG,2
6644,vectors dad,NEU,0
6645,is called by holds barred revolve people,NEU,0
6646,pehere to the men wheres legistists too home to church all,NEG,2
6647,but winky does for politics,NEU,0
6648,dweewell is national paugurat of politics depversity discall discudesus national discindes,NEG,2
6649,has not here have joined the war with no one he is entitled to that person here whenever you are donler people are the people pelicikes to think,NEG,2
6651,package deliwed safelly to client in parktown harare today by,NEG,2
6653,green politics surrounds the downsizing and downsizing of the public park reflection of zimbabwes harare gardens,POS,1
6656,so when you want to have the people to see housing,NEG,2
6657,bags for herfree delivery in harare for orders gtg redmarkesnday,POS,1
6658,dont cry for people,NEG,2
6659,to battle was drawn and thats fract evere the knows that if im way to jumping mining im jut trying to say there were also the urgent places that were burning buty managed to survive,NEG,2
6660,go is afraid in my house and do not judge the world is not school hiprefet of the school was assigned to tomanovice while,NEG,2
6661,are you baby of single mothers,NEG,2
6662,to tell people the truth you all the dance,NEG,2
6663,eating laboulave becouan is good but as if it lacks exposure,NEG,2
6665,of awhappy to collaborate woth others orgasis our dissememination team had an outrearch thenicaberaber and intragry and intgrach veremina and intrache and intgrach to genromic ecommic ecimement conquest models,POS,1
6666,am on ing in an installments jan pai id check you dec paid plus grocriies pad and clothing pad defaulted hard out this thinking shopping for cows to the wounds called and finish the cigarette,POS,1
6667,people just think curse others,POS,1
6668,chavas spokesperson ostallos in new york western masterslook at the faces of the traces of the traces they are prored of the the puppet patioticaw,NEG,2
6669,ndokongowawata kwatinotauraask chris mtswangwa as sanctions available isimi vanhu vegenu munomboziva vanomgwemanei do you know what they say behind closed doors about their supporters vanototi tine penzizi eduzanu supporters are stupid,NEG,2
6671,ga hahaha you hate her snaha and you hate shadaya supporters shadaa details koshp hisspi dick he sells is the truth,NEG,2
6672,here are people that you are corn to famler as insulting smh,NEU,0
6674,kare you to frighten our ekend people up to how to make it possible,NEG,2
6677,the awe assuom am shona because appearentily standed in harare for lang,NEU,0
6678,with the wooden cattle how do your mother be willing to be gauge and that willi make hipos gauge does not proud brother or person with shorts,POS,1
6679,doesaa when what he was foundes are reduced queen vary for this,NEG,2
6680,vethani actress rhoda me litten in the articles industry as mrsthe talen trash hakti bothold after the tefred is repertry store straring in the strome serra serra seurrra serries in the,NEG,2
6681,mface this will not tell him doop see her videos to the memory there were just something else,POS,1
6682,uare arguing from point of printgege the fract yea talking to expehys and leave out of harare high and highse romasted to rich do not even compare uk and as the universes better and well paid parets there,NEG,2
6684,heres to blessed sunday we are here to give quality service for your convenience here are our sunday opening timespm to pmvisit our harare cbd retail site at petrotradequalitygaszim gasrefill weekendsales gassupply lpggas,POS,1
6686,kis baby,POS,1
6687,am looking for my mother,POS,1
6688,just come to the woe and see returned for about days,NEG,2
6690,people holds mjolo as the oaths seem to be given magnite unintentionally left,NEG,2
6691,enjoy it out there you see people who pray before starting but just eat bro,NEG,2
6693,believe twitter is the restricative shadaya and dad havere not the one who wries on his behaf should shoold debra in person,POS,1
6694,levirai baby,NEU,0
6695,by youtube vietube vieta jah prayzahzabyzyzyza its jah prayzahza its jah prayzahza mber prayzahza ts ts inky dbyzy dafater and butdy dwetter jah prayzah,POS,1
6696,inside room available for rent in west kare hararenear westlenear westlenear westle school and all amenitiesclickiesclickiesclickis occupationclick on the link abave for more information,POS,1
6697,attachees go through lot from zim did psychology but were sent out for the rough and come for the rough and madish to cook naked apon,NEG,2
6698,for the fist tf surrogate accepts the socalled sanctions for not betraying the opposition you stand up and tell your adults to leave your adults because they stop it and put the monsters in the cities where people lie,NEG,2
6699,ga so reporting the people kitaano is bitter speech,NEG,2
6700,the two people of anga,NEU,0
6701,activifrener some were invited by binlken to tell others prefect eh meat,NEG,2
6702,good illustration theore have set up the guns of geling on deceling bt poife drive,NEG,2
6703,unless you to report on the domestic gammo gams if you will just silect people,NEG,2
6704,and the father is at work of kakuku,POS,1
6706,can we follow the ricky rick people who have suffered from these dug,NEG,2
6707,go bill is taking toooonong praose of aaki silus trans and not evere and noham of guys to the core,NEG,2
6708,she is too taltave and spend all days in the streets of harare,POS,1
6709,has been made wcw this year or justify in comment of other kids had wimman krash,NEU,0
6710,ga micop lying are mysity we have grown to hear those ive personal experience my kids angeliers three and were all over during the ruring their momms press ask her and the kids are healthy,NEG,2
6711,but there is boy,POS,1
6712,people to go home,POS,1
6715,is job treat people,POS,1
6716,had the praisure of meener to the couple of ars back go well mayab,POS,1
6718,oh in the weighing room of brush feel what they say in this skin,POS,1
6719,is soomeone in gender,NEG,2
6721,fountains are already starving here to village the victim around the motobike and not get the red,NEG,2
6722,went home now haha,NEG,2
6723,boys the ride of people,NEG,2
6724,growing economy should have hr electricity isnt it,NEU,0
6725,people dont need the truth wn working in the government and payment is in rtgs quote with high price is usdgovernment bodies ray on usd multiply those fugres by interban rate then divide it by street rate wl get the reisoble usd value,NEG,2
6726,aww yas and thes million likes cause people dont understand this,POS,1
6727,has harareeeee father,POS,1
6728,people who had dramaic told,NEG,2
6729,gged mantirauds god and the noon lights zaccccs the first people,NEU,0
6730,realallya daying am the only one at my person because is to make fun of some,NEG,2
6731,its just happening its people living in the ghetto on close at cetselys seans to katets seaning on the lot go on mom smoothly and stop smart,NEU,0
6732,how zanani got the boats faces of all,NEG,2
6734,is person does not enter this few people,NEG,2
6737,hes fake,NEG,2
6738,prodom is to not see that am your father,POS,1
6739,matches you dont get too many as good as the shadaya here,NEU,0
6740,interested in seeing people in jola,NEG,2
6741,about as bitter in food to the bunch at home where the hatred,POS,1
6743,to let it go,NEG,2
6744,and cut on this child,NEU,0
6745,bitter pill to solve of previos medicus mede uswas loansharking hoseks lavosted infrustracuter infrustractry not on socialism imf style,NEG,2
6747,my harare people im locking for spts can do sunday deep house the sessions please remilt tull to host it thank you in advance,POS,1
6749,the th edition of mitambo international theatre festival is starting next week at reps theatre harare zimbabwe watch this space,POS,1
6750,is maa shada just doing here well because the free client doesnt work in real life,NEG,2
6751,short daddy is serious,POS,1
6752,truelly false prophecies,NEG,2
6753,some of the romohoo just being bounded person and degota and think that cup is more important than opening companies for your children vance,NEG,2
6755,saturday around ams approachd as maximum of the buseen is not ignorant to the bush and then go to the shields to men,NEG,2
6756,eeeh puts emotions and fielings the people,NEG,2
6757,or shaya told you met hated my wives,NEG,2
6758,broway have not hated him but someone will open her legs that want him,NEG,2
6759,yes the mother who had those love,POS,1
6760,gra at home without profession with them but but to have melcome you,NEG,2
6761,my dad was called ball of some iduan even know the mening,NEU,0
6762,is satan these people,NEG,2
6763,eshi is not on bad thats uacceptable permanently will there be an oak,NEG,2
6764,ok tet enough but you stoop eats the mask hnt,NEG,2
6765,isa offer the father of men print ama is not affordable to do so,POS,1
6766,avarearasse available for hosa fit ga visit usa at noah seka road harare kurere karet harare for build tirecall or whatsapp,POS,1
6767,every time he talks about harare he doesnt skip that place,NEG,2
6768,that is why we say masctions are invited by you and your companions when we pick up our soil ibad lealdershiip if you saw you rival suitatory of the rirati arts heart suurituatirating suitiw it is disaster,NEG,2
6769,has not weekend people hear and lurking,POS,1
6771,chengetedzai vanhu venyu amana vanoenda naengineer ava,POS,1
6773,for all your laptops and electrical gadges get in touges with us on located in harare of the offer free door stegment delivery click on the link for quices,POS,1
6774,isa no country is constructed to break the courson now corruptuptupte you and yora team dwetown stewing on this item,NEG,2
6775,is madly people these,NEG,2
6776,readily aricable summer shoxier brieffs pack of available for arapy for dellires in harare cbd contact me on redmarkesnday,POS,1
6777,people are angry out there,NEG,2
6779,has father harareeee,POS,1
6780,how to give toward your loving people,POS,1
6782,some kids strain to draw so what,POS,1
6783,for brings me to nutty and seh calaz no sutty will ever of nutty wiss ever for jam love bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bea bee for jim love of zimdamcehall thats why you canter compare them zoros and pizza withed to underverse it to appreciate it,POS,1
6785,it is even his baby fut but she doesnt see have done it illusion bodo here we may have called tinabes but only,NEG,2
6786,is the air the mother tadie,NEG,2
6788,once the candle of it has not worn barley your residence,NEG,2
6790,aahah is real sister talk to children,NEU,0
6791,sukporting who else stopped by all zim the yellowy toxado of change we are not stoppingregstertoofoto votefangercccc,POS,1
6792,gram leonard xhakaa leonardo dembo james wonloremore jarsesolomon skya fan with dube marry sincerely system we like nicholas zacarias andy brown daughter amra brown soul jah love system taxadanb music hall of fame artists,POS,1
6793,ngavasatidaro vanhu ava,NEG,2
6794,is happy in you who will forgive the womens wives are people of,POS,1
6795,horns yieldoldold orphad minor wild female captured as harare mans sechold female female female female female female female female female female female female female female female female female female female female female female female female female female female female female women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women women woman woman woman woman woman woman woman woman woman woman woman woman woman woman woman woman woman woman guide and school het seedd,NEG,2
6796,kimiser patience seems to be drinking water on shower,NEG,2
6797,is perfect person who can marry mama tin,NEG,2
6798,es gonki doto live on donations am diligently employed and nodense in my life is run by diasnes diane is not my employer spotics to comfort people in donations home away,POS,1
6799,is so shadia is lack,NEU,0
6801,lol if darwan nunez coxs cucurella costs cucurella costs mumicholas pucholas puzzi muromholas peak muromelish is butters facket greelish countro and he neda yall hangs,NEG,2
6803,the full moon over trees in harare kiritotals,POS,1
6804,people are not doing good,NEG,2
6805,these four times,NEU,0
6806,gsu are the kids for sisters had seeing that the same is just,POS,1
6808,dont lie there people need these help,POS,1
6809,sancations are not on the zanu father archira is not targeting zanu ieepa is not targeting zanan eventi ttpl ttpl is not targeting zanu over usdbn of fdi was blocked beoz of the all sanctions should you fanish civilians like that you want zani to reformation,NEG,2
6810,ur ryt beautiful people,POS,1
6811,this muman is just thinking that eating the western food is stomach at the successor fill in the grain and the downs do not mean we are suffering,NEG,2
6813,years old plus tortover finally paid raoke and the cow was available took what know,POS,1
6814,wanted to be up to those regions dont expect too mich froms child,POS,1
6815,re ure talking fier the future is toiddayno go to harare city council and sees of nelson chamaicabbish is an everywbbish is the only cccthat,POS,1
6816,gsa spill had race to see the side of the ciify with,POS,1
6817,is the quality of its person to repeat to eat till it develops into an addaction,POS,1
6818,people calm it out this,NEG,2
6820,the chiefs and seed to finish children he should push the apocotic sect followers in that area to vaccinate kids,POS,1
6821,commercial space for rent in ring en champion usdpm skyryanroacties propertyook,POS,1
6822,hahaha rostics were told at regionine this,NEG,2
6824,grugggle that the government purchased the laptop to the firmist psc to pay them not for the usd or to give one of the unresetics token of the unresetics token of the units of the university of the unden of appreciation to token of the units the msd to the ndon existent to do it,NEU,0
6825,selmor mtukudzi and tamy moyo will be the main draw cards at this years edition of the good food festival set for september at the harare botanical gardensgt,POS,1
6826,define borehole of jah really yall knoow litle to nothing kinda women you think shaya to see kaby kanda cargin and if trize the si tikt the nut having sex waiting marriage,NEU,0
6827,designed to inspire and machal every mother the new kia spotage the movement cans kia movement taspale casopants kia movement taspal cargram carsophar cargram carsophar carsophar carsofores carsofimagram kirami drawa zimbabwe,POS,1
6828,women judg and decides to ah want all the smoke today no marries smriies sdaya the angers team,POS,1
6830,has not got out of busy now didnt arrive by work,POS,1
6831,lol leave people,POS,1
6833,people such as those in the world,NEG,2
6834,save this child,POS,1
6835,people have my hunger,NEG,2
6836,but that people dont that like my good pipe,NEU,0
6837,is shapedia job just like the shepherds prophets,NEG,2
6838,sadau is your,NEU,0
6840,ga would he be somene from the optopostion already as oll out iy are white people who play with who,NEG,2
6841,you dont accept the hont truth people enttia better just when we travel to do one meter apart or walk ones front,NEG,2
6842,is shadias fatherless conscience,NEG,2
6844,will criticize the tuel aerodromending bower aerodromending bower aerodromending bower aerodromending bower aerodromending bower aerodramending bower aerodroomending buel aerodroomenting buel aerodroomes and aexpuls and espical and when the educational system is in shape,NEU,0
6845,can you tell people who are homeing,NEU,0
6846,glet but this man is persons nonmans husband,POS,1
6847,is this is already dead,NEG,2
6848,is already father friend man up and get the message to your pareughs throughters tent or mother and mother,NEG,2
6850,knows what they make this baby,NEG,2
6851,thats me,NEU,0
6852,dont do this people kkkk,NEU,0
6853,when she said you give birth to your child,NEU,0
6854,evens time for smith right there people like you,NEG,2
6855,joined september is insulting people here,NEG,2
6856,laptop cost is not quajuilleent for an old jap mecedez burchase na nolam drawa people,NEG,2
6857,has grown up for you little child sterek to be called hit by lightning,NEG,2
6858,in telling the first child,POS,1
6859,im coming home kkkk,POS,1
6861,ehe that doesnt make you achieve the same as agreeing with shadaya wont make you an alpha,NEG,2
6863,people drink in the bottle glass is resured for hot stuff to challenge waitors,NEG,2
6864,facts parent facts,POS,1
6865,zcstreeets on bads is the best way to describe this video them are nurses to life watch as woman confesses to the sows that everyone had sex with dead she retermen men vid cred,POS,1
6866,capable toxnder has begun biggy and kill people like tshaka just,NEG,2
6867,this government is proud buying musus transferring people from all hospital for helping them is this the second republic or the first,NEG,2
6869,or politics are up to these leves on bad,POS,1
6870,this has failed he has farailed us as man,NEG,2
6871,gal you forgot to mention that morganzira and khloes sum stopped at morgan tsvangirais funeral,NEG,2
6874,keep on grows those children to do as if kids the mother,POS,1
6875,thomas guys hanged meat,NEG,2
6877,here learned that to put person together is not job at all youve already seen people go by,POS,1
6878,is pearly is still golf people of,NEU,0
6879,mindwazeza jiseza house for salekneat bedroom and colred bathroom and toilet open plan dining and lounge kitchengood security waved and gatedthetiza highdesity harareproperties,NEG,2
6880,here is trick you wont log in war against shaweyfyfya no stop particide in one,NEG,2
6881,im selling weightloss products propects if you are struggling with weection cected mokel to othcries and countrics,POS,1
6882,winky vs jahi pharaszah nungers on boosmplaymafafans on the right patwitter when it doesnt make the right on the right platforms and the rights bluetoothshait and pichot and pichoot and picter vs,NEU,0
6883,but how are the people of the cupclong halma how is it done,NEG,2
6884,just poles photo theater in the park harare,NEU,0
6885,aaahahhha kids sdaya be humbles here you might be wrong,NEG,2
6886,hmmm dont stop where there is that side and water,NEG,2
6887,see person who is pulling shadaaa is sown and married ball,NEG,2
6888,the committeer whis joshua sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco sacco stard on monday with visit to lacharge and moved tobased diamonnd cuesday,POS,1
6890,are cooking these people,NEG,2
6891,of this water,NEG,2
6892,magicism refer to male nut anything to do wing,NEU,0
6893,truck and stuck tardpaulins cowie road tywald harare,NEU,0
6894,nxaa people she wanted to say more,NEG,2
6895,guys of zanu give you dietroman or give you vote for people without wishes,POS,1
6896,go uore not marriited you for married now undersy,NEU,0
6897,was you there as when wasa was begging for those sands,NEG,2
6898,people climb flat with pizza ill there,NEG,2
6899,your is going to come this and leave the victim to force mungna griecks with her with her own burial,NEG,2
6900,can hear jah prayzah perforlar loud and clear at cock whick im resist in room no need to go inside,POS,1
6902,neignoier people,NEU,0
6904,people like dishagust me,NEG,2
6906,daddy im sorry im sorry but as person who uses famale manager as social manager of understanding,NEG,2
6907,subported ed in and pretended my view towards him after the same can happen with stand of are behind him bcz of the never dream,NEG,2
6908,you are loved to gmb you maize youko is person who arrested hers of the kids,NEG,2
6909,people seeing sticks on your twetet sooworse when big act acc responds and then scene more than yours,NEG,2
6911,has this argument is not the one from zambia,NEG,2
6912,people fewer the daways so when you get chance to,NEG,2
6913,shadaya has joined winky and charimdont stir the hornets nest plant,POS,1
6914,hanzi huya uyite show asi mari hatina budget composure nedoro ndiyo yega yawo languagefamousandpoormbiri isina mari inorwadza pafeyag made miracle on this album bro,NEG,2
6915,youd thik you have problems until you geturas untili you get arreted by city of harare traffic bastards thort being born,NEG,2
6916,people penetrates the boil out there,NEG,2
6917,there is louder not to cry out in lackless people,NEG,2
6918,cda what were your affsis or affsis election promises from affaple hoesjobathebetter zimbabweeciety now,NEG,2
6919,you would click me but gay in the poster food is not gentle,POS,1
6920,doesnt kna year too mich sugar,NEG,2
6921,doesaa people with tint you know them,NEU,0
6922,is not yet my people dont want to make restaet thanks for resett though,NEU,0
6923,babe my story is simplet me come waylet me be your manlet me run your race,NEG,2
6924,cheers to our amazing girls madam gift from jac gewe and madam toma from jcus harare making watch the award ceremony at,POS,1
6925,its tra both hounts and latest is to like to get home unless get to the club at ill push bit,POS,1
6926,in the rabbine guys offer in meat in life,NEG,2
6928,its just simple message to stay home and stay at home and stay out of the homeure africa clown see see see see see see see see see see see see see see sate african clanding with afe not even wanted,POS,1
6929,isnt my people spent your time,NEG,2
6930,isa here we were already trolling the organizers lol then we only saw harare on his ig,POS,1
6932,winky got any of the correct adverts,POS,1
6934,traffic is valued collecting people todday cells to ccc,NEU,0
6936,and chamisa will want againleading us to farce of an election every years,NEG,2
6940,isaa what did the widower to compreive winky with notes,NEG,2
6941,on the wrong inakye everything else is whatsw,NEG,2
6942,umm person can this now moved grade to form done by some children,POS,1
6943,better that we leave them with the same people like us,POS,1
6944,shadaa is socially built by centers are houses,NEU,0
6945,on bad,NEG,2
6946,is summarized it but grim of definitely crown is flum of sprums,POS,1
6947,is shot but you have problem of not understanding and do not renounce the genda or murderer to break free from it you love family,NEG,2
6948,sounds like missing missing anagay dcourage love loreles love marriages it dono joges love it its marriage,POS,1
6949,shadao cord you mastereeets enw complain of own need,POS,1
6950,gsome is taller than all people,POS,1
6951,can cook dont want to eat junk pliz kkk,NEG,2
6952,is where is the got grocery shop that hoddshasesa and its full of breakages meal dont complete,NEU,0
6953,happy birthday to the first citizen of the city of harare harampan of the people kind humbleyour courage determination and hard work for the capital evenin insurmoutable insurl evenurmoutable insordinable advlary and appreciatedcontinue leading us,POS,1
6955,thi is zimbabwe the party of nelson chadug the lethes of jechado not say of warned our people they act according to what the see in neros heart forget what nero uters with his lipsg,POS,1
6956,not alone bud to put the legs in pool in pool in pool in pool in pool and just stopped in dam to the children of others to terrible knee,NEG,2
6957,chickens the father,NEG,2
6958,this is not fair mana dream she never fots marsried and whenever the kids would all make stample,NEG,2
6960,this one,NEU,0
6961,people dont have bond,NEU,0
6962,thank you buy me like,POS,1
6963,go down on first bus stop its just bring but you dust all mean,NEG,2
6964,here when water,NEG,2
6967,increesed economic actisties people love rod of your salt,POS,1
6968,hahaha dad tridd drivers those things up now the inch is tcaatezing,NEU,0
6969,happening nowstwizza uddizza redents synanded an immedy of theway live on standstill to,NEG,2
6970,looked at the tongues and she killed the children of others,NEG,2
6971,go goats you come kah and see the dogs dog,NEG,2
6972,age doesnt matter once in similar situation with ars arts big tituation big tituation big tower cut we made big typeface and even thought of returning fet thoon,NEU,0
6973,sales administrator creative automatic harare the lookty candaty candaty and drive cudth whirel cowhin encycsting and new clients jobs,POS,1
6974,xko jjo tank boe hre here for people who are such four,NEG,2
6975,is new babling and as new bable and encoll laptop deanga back to the clean city and harare is on its way to being city tht is admicusthis is agentments,NEG,2
6976,yes dadukhes the deal,NEU,0
6978,is sick this comment is real sorting person,NEG,2
6979,ga sked to the own fleece blankets at council clinics in gunkics councils clinics have reportted shortage of linen us can buy parns of linen for grounder council clinics where are our paceties,NEG,2
6980,marry then owe the exwife of vice president constantinople has had her right arm accounted shea was diagonise with actee lymphonder which caused large open womens forearms multiple application to seek treatment in south africa for tessed by committs,NEG,2
6981,is only for ball daddy,POS,1
6982,created the sowood and can honestly know the deal of the trade of traditions and cultural thresholds and cuterals of the omission of human tradition of the odrings of the disturator the oonger the orys districting be you and what he will work is building his heritage,POS,1
6985,has charge for this guy,NEG,2
6986,haa dog that,NEG,2
6987,ga boys the sda maste do these consistelsly but won chose themm,NEG,2
6989,andver mind whatir mother told continue gontinue to doors vallow translation children to quit the giman family,POS,1
6991,ga kids striking this person,POS,1
6992,people just want to do noise wont understand the story,NEG,2
6993,mon month the so be gigning to suspect cz tino ed and kirsty we do not have the childrens predestinating us at christmas christmas christmas,POS,1
6994,you are the people in the buluwou where are we going tomorrow,NEU,0
6995,gge called brain loss and ghost who is short sandwich out of picnic basket is funny nothing here,POS,1
6997,radiator has loved water,POS,1
7001,is about dog of dog or of dog,NEG,2
7002,go here around two to give people the drink to restore your father,NEG,2
7003,sker you want our parents to see different people of vary month,NEG,2
7004,ga isa today when it comes back bad but the weekend tear in game,NEU,0
7005,is gonki doto live off donations am hampily epployed and nodense in my life is catered for by the diasnes diane is not my employer spotics to comfort people in the donations home away,POS,1
7006,is my homemas mother,POS,1
7008,all people are toxic are in comment section this,NEG,2
7009,keep goingfall eleven times and rose up dzen the name of the game is to keep going life is like ringing bicycle to keepa balance you in sterp moving albert einsteinnoah cyda quasa quotes wisdomi sayership harare zimbabwe,POS,1
7011,pull off all the goats in the middle of the goats per million households killed per household afraid you what does the epworth people waiting for title deeds marks backs back to people,POS,1
7012,aah come here you are,POS,1
7013,galans hardships he is candanging accounting accounting accounting accountal all of them salani hased the dictaatorship in ccccober,NEG,2
7014,hold people cde we,NEU,0
7015,while youre in ill do my,POS,1
7016,once likedi this in pulquric people luck is mad,NEG,2
7017,let them come home tuy,NEG,2
7018,happy birthday sa how can that thieve attended to the lord in the last day your shwi turns on the day you die,NEG,2
7019,there is nothing you will go to the mother,POS,1
7020,know how you feel the pain is that our community hates health workers especially nurses it is my desire to visit hospitals to see these people who do not invest jis pach or gloves because almost someone who killed hako,NEG,2
7021,go already with her but her spest would cut them gi is the one want to tie with this year,NEG,2
7024,dont get into that but the baby built these two houses not to forget he played for orlando pirates how sandon in zim with two farins is dry zim and such beautiful young robe,POS,1
7025,this wish to see in zimbabwe word you dee as for ma the cheraos face and colabo btwn winky and jah prayzah,POS,1
7026,the children who drove are ignorant of nothing it will even be with brown argar as sniper still travels in the industry person who is pioneer to start and copy in the year of zora,NEG,2
7027,ga therage plus produces used for produice we do not fit the nubery iave the nubery and this wasis wasis aka tip on the right here,POS,1
7028,syphillis dont stand father ivirus jux like hiv they have money not swallowing up by the poor they is more mony expensive treatment option vailable rich people just take it as cancer bp sugr etc and splow and contractue and contracti the bosses,NEG,2
7029,all not to an arm myse person who is already angry with hat which is already up to its so your side chicka ahhh what told you to do with nondecisive people,NEG,2
7032,does that include murder and dicatorial practices corruption on edophilications etc you people fear god before here is matter them are limits to everything all roads on the limit,NEG,2
7033,cattle is never drive where the dragon,NEU,0
7034,ghat identity children will probably say that parents siblings are impure it is simply deluded to believe that you are the owner of child while in actual fract baby,NEG,2
7035,rubbish this is pic of decisive and dr saying the director of heath in city of harare towing wilkins hospital dr say is not zanupf,POS,1
7037,ga right here is the order,POS,1
7042,cook the best zondo in harare,POS,1
7043,dreamwell awake,POS,1
7044,becase hopewell is supporting the tyrannical reign of chase in ccc,POS,1
7046,if he had stopped by which is given to audience hairs samboluma,NEU,0
7050,if we have ever went out as september october to december,POS,1
7051,bite baby,NEG,2
7052,his excellence the president dr ed mnanga is back from verer sucress united nations general assembly he was refidid and the vice president dr cdgg cdgg cdgg cdgg cdgg cdgg cdgg cdgg cdgn with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with with wide wham certagance elements in the media reprted as uningry this follored cancelation of the presidents planned,POS,1
7053,get to talk to gender mercy my back,NEG,2
7055,is just budd up little small young,POS,1
7057,hiniai is getting started,NEU,0
7058,dont have to say on the full people,NEG,2
7059,is not on this tire,NEG,2
7060,but may people not let me like me my good pipe,NEU,0
7061,the bank can verify all this with bill of entry let me see if there is sample bill of entry can share the banks makes the application on behalf of the importer and then the importer submits boe which has date price quantity etc,NEU,0
7062,eating light is peer presure,POS,1
7063,withed to helw cowe eshi some people dont have sleep too,NEG,2
7064,aahah mdara you dont have little bit of everything parked my truck overnight last week its not brothel balars like kids they like kids outside when the night hurts where did it go this number,NEG,2
7065,imagine shadaa if they are beautiful goddess then dont miss,NEG,2
7066,and and means crawl for nat manuts is being given,NEG,2
7067,chris excel and shadia regional treatasures,POS,1
7068,dad havire doesnt write single english aaaaah have rejected,NEG,2
7069,zvekumama izvo mnangagwa akanaweta ma million emari kuti aparadze chamisa wozoti peruzeze vana marujata in uk can destroy and ndiko kuda kuda sukasa mai nemboro uku,NEG,2
7071,ndriibachelor and dont believe in paying lobola even for virgin guess will not grirested until die,NEG,2
7072,the reveal of winky ds wife,NEU,0
7073,champions of just day on day out on the account people in the hartsmus however real mhihhkaskashi is fully protected by systems you know harare trafficking is typical study in faililah care and false democracy and human rights lies,NEG,2
7074,as black people of need to start considering old peoples home let the older people be taken to their peers and moments to make the online stopends because how do you love them like,POS,1
7075,fiction any time of day,NEG,2
7076,but wink when he said to come with aftersada womana and pen would mean he had no plans to smoke baby,NEG,2
7077,illrow one cows me started business,POS,1
7079,water real,NEU,0
7080,en want to hear me too you mom khati personally got used to me,NEG,2
7081,then boy roar hake telling people the truth,NEG,2
7082,is crazy this,NEG,2
7083,is what you want but tell your father to be my darket of the sabcharger money for it once they free transfer,NEG,2
7085,background people performing the confent hanty,POS,1
7086,home of you and pamed is the story of missator andrew shaye fous furda four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four four fous furda kilows furdt andrew shaya fous furd kiled kiled kelled kiled kiled kelled kiled kelled killow amp burie fourwee kiled kiled kelled kiled kiled kelled kiled kiled kellows furlws furlws furlws furlw to cleveland dam harare his car was fount of apuid in epuwoo the memory of young zimbabwe familys journey gridef will inspect,NEG,2
7088,is what they do the people,NEU,0
7089,gwwy hast remased in wing in wanging in wangs hiwa mawa mumow to the end of the songs him and then say your opinion because lot of people me included am erjoyng the sogs winky last released fross,POS,1
7090,hoo life will never change you have already used fullstop you life is the wheel belongs,NEU,0
7091,cde gber kocture windon end with wiptaut mention of winky,NEU,0
7092,is harare,NEG,2
7094,hai is this sick only,NEG,2
7095,people of kada not people are right right,NEG,2
7096,here treading the people yesterday with their muvoy,NEG,2
7097,hahaha musadaro vana vedu varume,NEG,2
7098,even in harare can build nice house,POS,1
7099,dm give you streets used by me until we are in the house,POS,1
7100,cows cove will be conducted the conorctions dont fall unto the tper count cash is english,POS,1
7101,ggggggggggggggg your brother,NEU,0
7105,is your mother like you even put lump in the heart,NEG,2
7106,componewza made standing dogs,POS,1
7107,for example domach gig hicc last weekek hicc last weekek grabed bet rogped bet that home facts for hinst su devy gfa heam rembaby gabpy gfo him remah reaction duld for hinst him respen hom retailt live gefafalyf,POS,1
