shona,target
mumiriri weharare north vaallan markham vajacob pikicha pamwe netavonga savings scheme vakakwidza nyaya yavo kudare pamusoro pesupreme court kuti zvemari chakasainwa neguta reharare chakasainwa neguta reharare uye imwe kambani inovaka minda yeaugur investments chamari mari,0
zvamakati job akaisirwa muchetura maybe arikuferefetwa pfungwa iyi ndivo vanovigira wiwa chikafu,0
it s not to responsibility as vakwasha to pay mari yehuredzwa vana sekuru were supoz to claim it from vana baba vemwana from e proceeds of e lobola wabhadhara not kuti iwewe u shud pay for it makabhadhara roora ka2 apa,-1
munappy zvangu ndichingoshitter vanhu vachida kudya prezha,-1
mdhara wangu kumaraini kune mwana ane chivaka shure ndati saw her akapfeka hembe ini dzvoko paita mkadzi next day ndakamuona ari mu uniform hana yangu yakarova ndakatomboita moyo kurwadza,1
chamisa anoramba achikupa chara echifuva ati rally is a structure unoshayawo iwe zanu pf has lost countless times with structures and a fake ideology,-1
huku ukaibata zvakanaka inokumamira,-1
a iye achitamba nekuhwina pane imwe tambo yegungwa yeaustralia susan mutami aááááááááááááááááá ááááááááááááááááááááá z zrzzzzzwa kwaive kutadza kukuru kwezvirango nezvinopemha bato rinopikisa rezimbabwe chamisa akairasa,1
basa ra councilor kuwandirwa nezvishoma baba ava,-1
hopewell nyaya mako ari kutaura nyaya dzachamisa hopewell okurukura nyaya mako okurukura nyaya dzachamisa vese vari vakanaka mukuita kwavo,-1
siyai kufunga vanhu vasingakudii,-1
uko ndiko kunonzi kuitiswa manje ko sei iye chamisa asina kupfeka yellow shirt vamwe vakapfeka kureva kuti haasi kutevedzera zvacho zvaanotaura zvatodhakwa izvi,-1
forgive baba harare vakuda mahure epamasong avo saka he ll stand nemahure,-1
vakachata nanhas havana mwana,0
munodhakwa neiko vanhu imi,-1
imbwa yapinda mubutcher,-1
uyu here,0
isu kwatogara tane mamonths pasina marara kuzoti mvura hayo hatichatozive kuiona patap we now survive nemboreholes atakaisirwa napresident vedu,-1
kkkkk cbz masvingo gweru worse the unoswera pa que,1
uri mwana wesingle mother kaiwe,-1
ukati utaure zvema stocks dololo zviitiko zvazvino nharaunda munharaunda kana pasi rose nhau dololo economic situation chozikanwa irate repa tonaz zvozikanwa zvema video amai titi java chete vanhu ngavaverenge shuwa ah,-1
acting president dr c g d n chiwenga vakazvipira nhumwa kubva ku republic of korea kuma hofisi avo emunhumutapa,1
me tiripo hangu for eac her shhhhh tiri muharare,1
todana here mkomana shadaya,0
vanhu vakujairura 2k kubva zvakauya ma gold coin,0
aiwa ukuziva wani kuti moyo unoda asi nyama,1
fees yepa uz iri bho o o yakadaro kana musina mari garai kumba musatibhowe takuda vari serious nechikoro panga pazonyanya kuita kunge pa ôhuyai moseö,-1
muno itæs hupwere pa sosho midhiya isu tiri bishi kugister vanaà chimwe chikoro ndechenhando,-1
u remind me of psychology mazivisa msangano uyu ka lol,0
vanhu ngavssadaro varume,0
chitungwiza industrial commercial property iri matenga 200 000 iri kuimba yekutamba yekutamba simba iyi 4000m imba ichiita ichi chivakwa chine zvivakwa zvakagara pa4000m nyika nzvimbo iyi nzira ingangoita 400 kubva kubvaàhttps t co wgjpcx9fek,1
zvese izvi i understand asi fact remain mai vangu ndi mai vangu they need to do better to get along and handidzinge mai vangu,-1
40 years later dzave mbavha mnje,-1
jah prayzah nemaoko ake,1
vanhu vanoda kundiyedza,-1
song yacho yakatozongoita hit nekuti vanhu vaiva mulockdown vasina zvekuita,-1
besides uyu na ndeupi umwe useless muzimbabwean government,-1
kufambira mberi kwekuvaka paafriximbank trade centre munewlands,1
06 55 zimbabwe school of mines bulawayo,0
unoita hasha kusvika pakuseka,0
mamisa vanhu wangu,0
sentosa huwandu hwemazana edzimba nekupinda mudzimba mudzimba umo munganokwira kumusoro vhiki pamafuta muusiku mumwe murume 8 akarasa mabhatiri emotokari muvakidzani wangu akadonhedzwa mafuta kubva kumota yake kashanu gore rino takarasa chivharo chesimbi patangi yedu septic kaviri hatizi safe,-1
maifungirei huku comrade,0
freeman chibaba kana mazogara,1
panga pakaipa sanguine mamwe macamps akatovhota kunge vari kuhotera mafav avo vachitoita maall night vachivhoter zvino havazivi kuti mwari havadi ugly,-1
huyai neshamhu sis murove vanhu,-1
good morning vanhu va hina,0
uyu madungwe anobatsirwa,0
ndiye uyu,0
it was all this happened around 12 vakazondipa mari yangu kuma3 vanga vasitorina mari yacho mapurisa ekuti vadzorere hukugumi i am suprised kuti he is now playing victim,-1
ndizvo zvakaita baba iwewe uri murume wake kana chikomba kwete baba vake ndiye baba vake,1
me and you as zimbabweans jah prayzah ndiye ega chibaba,1
ndofarira kuona vanhu vachijola,-1
zimdancehall sens a putreth wallace chirumiko a mutsara mulladha paall africa music award 2022,0
kana wacho aida kukujoiner muhondo dzako achiona izvi anongopera power pamuri kuruza apa muchangoenda kumba mochema se2018 kagidi kako ndekemapikicha chete mabara ako haachagadzirwe,-1
vaimbi vega vakadai muzimdancehall vakadai sawinky d vhunzu veninja gafa avo vakazviita mumusambo uyu,1
ndichaita basa rangu rosendadya sadza,1
musadaro imi vana tall woman,-1
uyu here,0
hakuna mwana mudiki anobhadhara rent,-1
ndokuvinga kumba iwe,1
inhata vanhu ava,-1
ndine nzara,-1
vanhu ava,0
zvekungoti zimusoro vanhu vamusingatambi navo zvorovesa,-1
mmmmh huya pano,1
saka muzimbabwe vanhu voita madrugs freely nekuti imuviri mutete uye haibati vamwe rudzi rudzii rwenzanga isina mitemo,0
mupei peps uyu anoziva,1
hanzi vanhu vaifuridza refill yepen kuchikoro kusvika yanyora ndoo same vanhu varikuforcer marelationship,1
dm ndikupe mastrategy akashandiswa nemunhu wangu kusvika tava mumba,1
besides uyu na ndeupi umwe useless muzimbabwean government,-1
mukoma vangu anoita zviya zvekunyorera vanhu kugomba kutaura chokwadi haana chaainacho asi arikurashikirwa zvakanyanya tanga tichimuudza anoramba izvi akut pane sekuru vandakanzwa vanogona kubatsira kkkkkkk the kurwa ndiko kugold chaiko ikoko,-1
hmmmm nhandiiiiii rachel oda ndicheme here pazere vanhu,-1
vana vadiki nxi nxi,0
this is a plan vanhu ndeva mwari ava,0
ko mota dzamakavhara vanhu pa byo apo how far,0
haaa vanhu vakunyanya,-1
world champions kudiiko iwe huku ndati epl,-1
makorokoto nekupihwa imba unozongogara hako nenew boyfriend uyu murume aenda uyu,1
asi rasberry ndeyevakadzi hr kana vana,0
vanhu vangwara mazuva ano,1
hama semester ine 3 months ukachinyisa inopfuura muhoro womwedzi mumwe kuti ubhadhare rent ne food ne vamwe vana kuchikoro how far ita mushe iwewe,-1
ikoko ndokwenyu kwete zvekunochema vanhu vasina basa,-1
haaa manyanya kudzedzesa vanongoita ma dna oinda nevana vake mhiri kwemakumbo mumakumbo mukaita mukana chekudzidzisa vana venyu at least vanosara ne something yaa kuroora i basa ukasachenjera nevana vako vanotambura wafunga zvekusiyana na mai vacho,-1
sadza ronaka wangu zvana exposure hameno ikoko isu vamwe toridisisa,1
chimwe chinhu chichandiuraya mageneric quotatons emufana uyu aizve ndokudini ikoku,-1
chidzokai kumba maimwana iwo tsano hawasati vapora here vamakaenda kunoona sezvo vairwara nedzungu,-1
asi unoreva tambo chete dzakaiswa zimbabwe magetsi hatichaazivi anoenda na 5 a m odzoka 22 00 tavata vana vave kupinduka kumusha ma shop ave kushandisa ma solar powered fridges nyama tave kutoita zvimukuyu imhata yegudo,0
hanzi na winky d takusiya tsika dzedu dzechivanhu tichitevedzera hunhu whema ngerengere whites,-1
you are right kungoti vanhu vakakumaka,-1
zvimwe hazvidi une zidumbu rinenge redhongi radya masese a clever woman anototi kumurume wake mari iyoyo yakawandisa huya ne1500 imwe 500 totenga bed newone nema blankets nema plates zvawo basa nderekuda show off uchipinza murume muzvikwereti zimbabwe yakaoma iyi fungai mhani,1
plan to see it muine rekuzoona paside koz ha kutumwa pawaka shinga shadaya,-1
ko regayizve mugare kumba kusina kudhakwa,1
bambo makazvinyepera makauraya mdc varume mukutotadza kuwana candidate chauyo fo by elections zvakamboitika muhistory ye mdc under morgan and chamisa chasara kuenda kunorima varume,-1
muno itæs hupwere pa sosho midhiya isu tiri bishi kugister vanaà chimwe chikoro ndechenhando,-1
achipihwa licences nhasi akutotakura mapurisa ndozvazviri vasiyana newe ukatora license nhasi unoda 5 years kuti azotakura vanhu kkkk,-1
vanhu vanoita vachikanganwa kt its hard to save and invest in this backward country of ours,-1
musatora vanhu for fools this tender was awarded to blinart ka who had approved it in the first case ana chokuda muri mbavha imi you must be investigated and arrest by zacconline,-1
aaah challenging a god bvunzai mwonzora he was labeled w sellout zanu project when for wanting to contest nero at gweru congress,-1
mdara nyaya hameno kuti nyaya iyi mai coordinator nazanu sei dzidza nyaya iyi neuchenjeri munhu akaita violence on u wah u gonna do nhy comreade,-1
vanhu ava vaguta kunyagwa manje we have to stop them pple of zimbabwe,0
pangu pakazara vana hopewero,0
mwana wekumusha pa chendambuya apo,1
kana king shadaya vachitaura batai manzwi kuitira mangwana,1
aiwa ikezvino mave vanhu vakuru havachabude kuti aaah haisi kids game ka iyi,-1
aiwa chero pandaichachura nyama ndaisaba poto yese guys,1
don t forget aishanda ed and chiwenga hence and aippa was not revised as mopa kana takambozviitawo nemurume,-1
haisi nzara here iyi,0
ndiani akabvumira tender in the first place what was the motive and thinking ana chokuba imbavha idzo must be locked up kwete vana in the meantime registertovotezw,-1
yaaaa true anoimbira vanhu,0
parizvino ndawana idzi mustock iharare nebyo ndokumbira utorezve mutengi wangu ikazi yoga ingadai iri patl yako ivai nesvondo revaro,1
nhai ndebvu vanhu vitohwanda vakakuona ka,1
ini hangu kupfeka suit wofamba kusvika shangu yava neshena uchitsvaga transport zvondigumburq,1
shadaya anovava and broke of kozmese,-1
unenge uchiti zviziviso kufaya mu life mako then wonzwa kuti kune vanodya sadza ne avocado,-1
kana muchiti no justice in zimbabwe you said you dnt like your country zanu pf must be out only chiwenga is worse than ed,-1
apa kanenge kaita mbiri yekupa vanhu siki raini rese including your dad,-1
respect our president chete bro zvekubva maita kunga ndimi mega mune ma best advices hazvipere mushe nd musanetsane nema youths kana mave vanhu vakuru we don t expect that from you hope,-1
vanhu varikuita mapiece job akawanda wanda kunze uko,-1
for all your laptops and electrical gadgets bata nesu pa0719611510 muri muharare isu tinopa mahara musuwo danho rekudzoka dzvanya pane chinongedzo chemitengo,1
supportai hustle rema doctor muendewo ku consultation havana mari vanhu vaya,-1
aya ndomakumbo manje aya mai mwana kwete atinogara tichiona anoita kunge machongwe akapfeka mburuchusi paraffin vavane ma lines,1
vana mdhara vaibatirwa tsamba nema days iwhatsapp rest in peace legendary paraffin mai sorobhi,1
udzai vanhu vadzidze kushanda,1
kutonga nyika kusvika vamwe vagari vayo vavakufunga kuti kutsemura huni chipo,-1
even the bible says vanhu vanhu vaparara nekushaya zivo you come here parading against what is good not jus in culture but to god for the sake of likes hayas,-1
asi zanu pf pane chairi kuitira vanhu here or mari ndeye matax payers,-1
andy muridzo is a versatile performer a great artist ikakwanisa kusvirana kunge kusvikirwa anogona kunge akazarisa achisvibirira najah prayzah asi nekuwedzera akakwanisa kusvirana kusimuka nekusvirana,1
musakwidza vanhu ndege dzemashanga pliz someone facilitated mahure asina kupfeka to walk in our streets sometime back,-1
kumba kwedu hakuna imbwa apa baba vangu vakafamba svondo rapfuura zvekuti ukuti,-1
haa apa mapindanawo hondo neasiri iye anofarirwa munhu iyeye pano chero akakuti muri dhod vanhu vanotoliker mufunge henyu,-1
stop entertaining vanhu vasina kupfeka even mufilm chaimo,-1
musangorwise vanhu imi,0
balance me ndapota,1
murume weku mbare pikitai mukucha 31 a mazuva ano mbama makore emakore kana mhosva yekuwanikwa aine tambo dzezesa ndokuita kuti asvike murwizi mukuvisi kumbare muharare t co 4suetrxgkr,1
but 16 yr olds are in school,0
maremains ambuya nehanda achapa vanhu vakutambura muzimbabwe chikafu here,-1
musadaro imi vana tall woman,-1
ndiani ari kutaura mashoko makukutu uyu hanzi tipei track record,-1
pane mwana wandikutoda izvezvii,1
kana uri mu chaiye please follow mumwe wedu uyu,0
bhuku tekisi odha chikafu vhesi vhesi android https t co gay3hk2ima uye ios harare zimbabwe,-1
cde owen mudha ncube chigaro chenheyo nenheyo zve vezanupf vaungana mugweru kumusangano weinterdistrict vakatisevedzera mberi kubatana se zanu pf maddcs ngaashande kuti mnangagwa ndiye mubato anyorese kuvhota president ed cnditat yedut co 5y5jl4tc3t,1
muface uyu toita sei naye senyika guys kkkk,0
asi unozviziwa or kubvuma here kuti baba wako vane girlfriend,-1
mai sorobhi vakarara zvavo zvizvarwa zvezimbabwe zvakasiyana siyana zvakasiyana siyana zvakaungana pawarren hills muharare nemusi wechina kunovigwa mushakabvu rhodha mtembe uyo ai ghana timu rekuti mai sorobhi akakurirwa nesitiroko yaakarwara muna 2019,1
40 years later dzave mbavha mnje,-1
christopher tatenda tinashe martin anonongedza kuti arikuuya pakuparurwa kwealbum yafreeman hkd wwewewe wanewe wayanda,-1
kkk nzara yedzinhi inodhonza,-1
ehezve kudya kudya,1
akafanana na baba vake,0
are you in gweru,0
haaaa kana zvekuti chibage chibage zviya zvoshanda tichiri mumastreets but takuda kubvisa mombe hatizvitsvage isu,1
uyu pano zano rekuti akwire painvoice wc yakabvunza nadr mahomva,-1
kana uine mari tengera mai vako imba kana uine imba vape ma room kana one or 2 vobika vega haaa kana usina mari zvachose haa motoshinga zvakadaro,-1
vanhu vave kudyiswa nenhema dzahopewell pamwe nekunyepa a u u i i i i huori nekutyora mutemo vanhu havachade,-1
wakaropafadzwa munhu asingafambi pakurangana kwavakaipa,1
tsaona yakaitika pachiumbwa chambuya nehanda pamharadzano yedura rasamora machel najulias nyerere muharare the problem is manheru anogadzirira pa red robot,1
counselors donæt deal with magetsi or utilities chikoro chinhu chakangonaka vanhu we,1
all data bundles even social media bundles tiri vana vechikoro motifoirisa apa,-1
akaiona anoiziva 5million us vanhu vezanu vanoputa musombodhiya chete propaganda yacho nhema dzawanda kudarika chokwadi,-1
kamwana kanga kari kadiki mazuva aya haa mafake vanhu ava,-1
pane varikutambjra 500usd here pawashandi wezimbabwe nick saka vana vavo vanoinda kuskuru how i understand education is a basic human right,-1
anako ere kumusha kwacho iyeyu ndovatinoti mibvandirimwo kuchindau ava haana musha uyu,-1
asi vakuru vakareva vakati shoko harivhikwe isu ticha kana ivo vanhu chaivo vanopombwa nashadaya vakasagumbuka uye nekupopota,-1
attacking haina kuita vafundisi vese pulpit kufema kudzora kutongwa kwehupenyu havafanire chema kana vafumurwa kuti ndevenhema vese vana papawe avo are fake hapana kukumbira ipapo,0
hanty urikungodya sadza rako wega ko kumbondishadza wombonditengerawo,-1
nyika isina magetsi nyika isina mvura mumapombi nyika isina mabasa nyika inoiitwa zvepfumvudza haaa hazviko dai yaitengeseka takatengesa kare,-1
imagine vane ma butcheries avo vari mukugadzirwa kwemukaka chii chiri chiedzaitika hakuna mvura here kukariba,1
hakuna baba,-1
mafungiro ari backwards,-1
mada ndisisiri harare hun ndingangoti vasikana veharare havaroreke,0
eish ma1 mukomana wacho aisafanira kuva anoshamisa kudaro kuti musikana akaure ukuwo chi pain chine mufesi uyu anoenda both ways zviriko futi to girls zvinorwadza kuzongoona munhu spoiler current bae pa level rausina kusvistwa nzwirai shiri tsitsi,0
izvezviooo vanhu vajombe takutoziva kuti how far,0
hate me or kundida but dakuti siyanai na baba harare,0
negumbo rinoita kunge sadza repanhamo,1
taura hako vamwe vanhu vanovaviwa nenhema,-1
iwe wakada kupa vanhu moral code wakamira saaniko,-1
kuombera kambani yechina yakudyara kudyara miti inodarika padura remvura padura remhepo magati negaidhiyaázvekuchinaávari kugara pamwe nekubatsirana nehanzvadzi dzemuzimbabwe ino uye kuitira kuti kugadzirwe kuti mugumo woenda,-1
saka vanhu vari kunotsva,-1
yakakura pakadirwa mvura,1
cricket ndaitambira harare sports club second league ndokubva mai vangu vanditi ndimire ndigadzirire bvunzo dzeordinary level mazuva akanaka ekare,-1
kuda kutyisa vanhu,-1
asi uridofo kani pane shadaya paakamboti misabereke vaskana venyu here shadaya arikuattacker mahure anoda kuzviita kunge vane value ivo vasina munhu ari right haafanhire kubatwa batwa nazvo izvi,0
hahaha hazvife pane kutonga kwezimbabwe ndinelson chamisa ko comedian uyo never,1
aaah uyu akapusa hake,-1
mushure mekuverenga mareurura aya haugone kundinyengetedza kuti shadaya haana kutumwa,1
ini hangu zii semunhu ane vana vasikana asi uyo aripamberi,1
ahhh date vanhu vane sense of humor kwadzo,1
hatizvidi hatizvidi no cover up please sungai vanhu please pasi necorruption,-1
can you quantify to analyze mazi bilateral kuti muchatiridza fanaidzo he pledged 1million us to un ko masubscription anoita rei basa apa unochema apa apa unogova i dont chema,-1
hamuvazivi here vana miss vakazvinyora vanopa muchato kunge ibasa mukuda maequal rights,1
so mukutoita henyu zvekucheater vana vevanhu mwari akukomborerei,-1
huya tichanje ne rd1,-1
kupembera kuti baba vatenga chingwa handiti ndiro basa ravo here,0
wakanzwa vachiti handiite zveku register kuvoter ungati iskiri apa ishavi renhamo rinenge rakasutsa munhu,-1
ápakayo irikuda kurwira mapassports chete neusd kuona riri papi vamwe vanozviita imwe nzira yezanu pf yekumisa kudzorera basa rekare takanangana nekutsvaga zva2023,1
seiko ndichishoropodza vatungamiri vakabva kumatebeleland ini ndikazoroorwazvedzinza asi kana vachishoropodza vachamisa nevatungamiri veshona havambo vedzinza redzinza chii chakasiyana,0
zwitter vanhu vanenge vachingo kikiritsana wena,-1
mukuita basa rekutengesa vanhu,-1
akati mari haidyike pasina mai,1
zvikafamba mushe tichaidyisa sadza manheru,1
hahhahah mwana azvirambaaa,-1
pazbc inongobuditsa vanhu vachitaura zvenyikadzawo hanzi ati zimbabwe sanctions bring v11,0
kubuda kwe zombie kungave zvako kuda muharare kunyanya kutenderedzanzwisisika yeavondale,-1
jah prayzah ndiye ega anokwanisa kumisa gaffa vamwe vese idyai easy,1
goat rimwe so rino trender asi vanhu vachiti ari irrelevant,0
dai vanhu vese vezanu pf vakangofa,-1
robbers atowanda kudarika vanhu mazuva a mugabe kwaiva kusina zvakadai,-1
uyu atounzwa na mwari coz ndanga ndakusiyana nazvo,1
rapisa munhu chitori chirwere the simplest is kunwa mvura yakawanda,1
mombe yeumai ikabviswa inobara 2 4 mhuri then panozoitwa chirango then if tete dies mombe dzinotinhwa kumusha kwemukadzi kunana baba zve nhai kana vakadzvinyirirwa vanozopatsanurwa kuita imba memhuri kana kuti kwete vakadzi havangataure pazviri,-1
baba ndiri pane iwe zim yakuda kutaurira nachokwadi,1
ava mazogara ndi daddy vemangoma pa zim jah p anongomukunda pakupfeka nhembe bedzi,1
ko tinashe mugabe nashadaya vanowirirana papi,-1
ini ndakaimakatumira pandakaenda pachikoro kuchikoro kudzidzisa achingonzi network asi unotenga chero chaunoda woshaya kuti network yacho inongotenga chete but cash out isingaiti akatozoitora adzoka kumba worse mukombezovharwa ndeche kusarai ichi,-1
zvisiri zve gbv anofunga anorova shadaya here akurwadziwa kuti kuti akutengesa pussy ichiramba kutengwa,-1
vanhu ava vakabatwa here,-1
30 baba,1
hahaha senyika tiri kumbomhanyisana na shadaya,1
mishandirapamwe iyi haishande takaita izvi chombo chimwe chete chatina chatina chatinochaichapotachapotapotachapota kuvhota uye kuziva pekuisa vhoti yako takati ok itai demo pa uz mapurisa nema soja havanonoke kusvika munozorara matova bho,-1
is saying zviri bho zvakadaro vana vanozosaririra,1
army zimbabwe ma best before nenza fut pfuti inoda wakaguta usina stress ye rent,-1
magwaro haana kuferefetwa baba vanorarama namweya mutsvene hongu varikushaya bhaibheri rebhaibheri asi mareferences mubhaibheri riripo umwe mukadzi waadam wauri kureva akaitwa when hapana verse yebhaibheri yaungaziva iwe ini ndisingazivi,1
ndiwe uyu futi,0
zvekusabudisa masongs kwake hazvinei nekugona or kusagona kwake zvinorevei kuva muimbi hauvhaire nekusabutsikisa mimanzi jah prayzah ndiye acharamba ari panhamba imwe chete muzimbabwe,1
itai basa sebasa matewu get to the bottom of all that rubbish tinoda kuziva vanhu ivavo asi chiita uchigadzirira kudzoka kumusha ku zanu pf ushande zvinoonekwa,1
makuda kutomupedzisa here nhai vana vevhu kwasara kunzwa kuti azvisungirira,-1
kuda kuvhundutsira ropa raanai makatochekeresa mai,0
vakapusa vanhu ivavo kan8,-1
but big tee murikuregerera vanhu,0
svisvinine vamunouraya ichatanga nevadzidzisi vapedze vese vatora mhondi mhondi muchapedzesa mhuri nezvikwambo zvenyu muri vezanu zvima satanist,1
mupurwa ndiwe unofunga mvura kunge maunogara,-1
baba vabikira pombi yavo nonsense,-1
uyu hana kana basa takafanana kungosasa zvauya mufungwa at the time cde in arms waswera sei wangu,-1
kutaura1 nonsense hakuna mwari wemakoronyera makandiwa munhuwo zvake ari kutamba mari svinurai iwe,1
ane ganda ane nyama hazvienzane neasina,-1
daidzai mukoma nhingi vema dna ava tozotaura zvekuunza vana,-1
ndodziputitsa nyama idzo,-1
magetsi abaca mvura yangu yekugeza iri pamoto,-1
kwete shadaya anoti nemo,0
tinopinda feya mukasatiuraya nekuti vharidzira kuita misanganu kumaruwa chiwenga aripiko iwe akazvimba machende haasi kumuka plus muchapedzana muzanu pane vakarongerwa soon kunhamo pa heroes masoja ese akadyiswa deadly poison mira uone kuputika kwachiri kuzoita,-1
vanhu vakatobva kwamutare nemagonyeti saka gara pasi,1
nigga ava sooo vanopa vanhu pressure,0
ingoendesa mwana kuna baba vake or mai vako simple,1
ahhhh mubhunu uyu,1
yeah ndozvavadoda vanhu ivava,-1
b ndoye muridzi haa pakaipa apo,-1
nyam nyama nyamest,1
vanongoshanda mumatown muharare tinovada kuti vavhare rural areas,-1
ndakapikisa ndakadya sadza nemukaka wakakora pahupfu,1
noise yese yekusada kujoiner chete chete kuparura chikumbiro kune kutenda wadii kutarisisa pane yako chaiyo kesi yangu itai muruze fast baba 2023 yatosvika iyi itai vagare vafunga mushe kufoma yavo party kana kufa yaka loader,-1
guys kana zanu ichikupa chekudya i vhotere kana ccc ichikupa ivhotere musade kupa vanhu pressure,1
saka vana ve hanzvadzi nemadzikoma vanotonziwo endai kwa sekuru or bamunini munorairwa ita srs wangu ngatikure,-1
urikuda kuti mwana wevanhu atadze kurara here,-1
haha vanojairira vanhu bus rinokutenderedza ka7 7 last option hike mokwirira kumasasa bho mnje,-1
vanhu vane drama,0
what s the reason is he having a rally in chipinge zviya to thank them mungatenda sei vanhu veku chipinge uri ku nyatsime,-1
yes pane maissues shuwa angati mai vangabatsire kuviga chikomba chemukadzi wake ane maissues nemai vake,1
iro sadza ngaridhliwe,1
zvese zvinobuditsa mvura,1
pindai paden zvisina formula anonzi bison uyu,-1
ndopamuno kutuka vanhu vision dololo how can someone form a party with no vision and plan zero and chero basa rinotoda vane experience,-1
diasporans vanhu vakatitiza zimbabwe vangashanda sei zvakanaka neembassy muwashington mumwe anoshamisika,0
mu marriage hamuna ma rights zvekudaro baba ndibaba chokwadi havachiputse musha pane mutengi ne mutengwi muwanano,1
saka nyaya yako iripakungoti shadaya kunwa hunters pano,0
usaseke vanhu vakuru,-1
chimwe chinhu chichatiuraya takavarairwa kuda vanhu vasingatide,-1
ndiani ane kuuraya ane utsinye uye ane kuuraya mnangagwa or chiwenga,-1
anobata vanhu kwiyo achibata neck neck pa basa,-1
munhu asina kusimba haikwanisi kutsoropodza murume ndovaya vaiti vachiri vana akanetsana vanomhanya kumba onozvivharira muroom refuses supper nyarai mudhara,-1
guta reharare rinoderedza zvakanyanya mari dzemamwe pamusika,1
last part for me shadaya ndibaba venyu,1
since vanhu vakungoita zvinhu zvakudhara asi we back to using suitcases,-1
izvezvi hatimbosanei kudya kwevamwe,0
quite the opposite ndaiti vakomana vari mumusoro rine ngozi baba,-1
for a focused man a beautiful wife is a must she encourages you to work hard kwete unoti unoti uyu chero akadya matemba week rese hapana pressure,-1
president mnangagwa musangano nemugovera titarisire nyika chiwenga rhum rhum masimba masimba vamuchinguri zvematongerwo enyika zvematongerwo enyika vakazembe kazembe atungamirire kumusangano weunited nations kunew york 19 09 22,1
arlington estate north of harare close to harare international airport cardinal corporation properties,0
vakarambisa chibvumirano chepomona sekunge vaivenenje yezvavachaita nemazuva ese kujekesa pfuma yeharare wadiwa ndezvipi zvirongwa zvako nematatu emuharare,-1
ane vana vangani mpfana wenyu uyo honorable,0
frame a baba,0
ndiyani uyu,0
baba zvobuda here,-1
kkkkkk basa kucvr last week kunotora yangu handiwe munhu ndosekwa ndikazvirega,0
hatidye elon musk or internet we need to be food enough for food security check list of sdg s in chronological order pfumvudza hatimire hauende painternet nenzizi zvikapera mushe zambia ine chikafu chinokwana saka ngavaite basa iroro,0
vanhu avazivi basa rematohwe,-1
especially vaya vaya vanozonzi varume imbwa dzevanhu,-1
tengenenge1 efiezethu ndeipi ari mutungamiriri weharare chine ma ct scan,0
chimwe chako chitsiure chisaudza vanhu zvekuita,0
huya kuno kumsasa,1
mukoma inga wani i told you that time kuti kana ndane mari yakuda i will buy iphone just for receive calls chete nekubvisa pane vanhu haindinakidze ini lol,1
varaidzo nemaartist zvechisimba yezvechivi ini pane chimwe chinhu chinodiwa nebasa rako kune imwe semuenzaniso kana iwe uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchinge uchiita basa kana ari gaffer vamwe vanopindura i mose tese tese zvedu zvakadaro ndatenda zanupf 100 local content shasha nejm,0
asi vanhu ngavasadaro amana,0
asi mapaper emvura amuri kutipa kuti tibhadhare iyo mvura yacho isingabude patap munenge muchizama kuita sei chaizvo,1
hausi mwana mudiki,-1
akanaka mwana uyu,1
muri tete here kana kuti mai vekurera siyai vana vave vana,-1
muface uyu toita sei naye senyika guys kkkk,0
pafeya ndikuda kuziva kuti zvionita sei mukandiudza zvamwari handiendi mwana mudiki ukamuti siya ndozvaanoda izvozvo,-1
naah shadaya is in his own level madzimai is way behind avatombooneke pa map,-1
musade kunyepera vanhu kuda kuti bata kumese macdes zvimwe zvinhu tangai mafunga imi,-1
marry mubaiwa aimbova munyori wesariro zvinotarisirwa kunzi constantino chiwenga adimburwa chinyorwa cherudyi,-1
chikafu chaunenge wavigirwa nemadhara aunopengesana nawo shavi rekupengesana neharahwa ndorinokunetsa,-1
chimboisaiwo vanhu vamusingazive,1
5 5 ndiani apidigura sekushandisa mwonzora chamisa khuphe tese pane zvakaitwa nachamisa gare gare kuumba bato remdca mdc etc ngatirangarirei populist kutonga kutonga zvinoparadza constitutionalism yes mwonzora haanyanyofarirwa nachamisa asi aramba akaomerera kucode,-1
ndinoda shadaya tofana kumuitira something senyika munyu uyu,1
shadaya imboudzawo vanhu vano register ku voter kwete izvi poster ma polling station nhai amana nyika ichifa isu busy virginity,0
mukusaiza mari vanhu imimi,0
huya hako ndokupa hanzvadzi yangu ne2000 imwe 500 monowana pekutangira se new marriage,1
ko mumwe mwana,1
anogona kunge atori wa2000 mudhara uyu asi vari kurarama vasina hanya,0
zvagara ndozvamunoita vanhu mukaenda mhiri so yes ask for forgiveness it s a good move,1
muzvakawanda sezvamakamakamaka uye maitiro ezvezvinhu usadzikisire kodhi yako cpu haydee sadza kumba kwenyu maximize,1
asi vanhu ngavasadaro amana,0
jah prayzah is the biggest kubva kare broid kutendera kuti asabatsire,1
ndosaka jah prayzah nabigman zvine imwe mari uye havana,1
smile nyama futi,1
please vanhu vatanga vaye hatidi mhirizhonga ndichakuda kuti utiwone kana usingaendi kugadzikwa kumahofisi echokumiriri tamba mitambo yeupenzi unohwina mibairo yebenzi ita,0
